Date,Close
2010/7/22,"2,781.29"
2010/7/23,"2,793.08"
2010/7/26,"2,811.06"
2010/7/27,"2,795.72"
2010/7/28,"2,863.72"
2010/7/29,"2,877.98"
2010/7/30,"2,868.85"
2010/8/2,"2,917.28"
2010/8/3,"2,865.97"
2010/8/4,"2,876.43"
2010/8/5,"2,850.83"
2010/8/6,"2,897.66"
2010/8/9,"2,918.24"
2010/8/10,"2,832.64"
2010/8/11,"2,850.21"
2010/8/12,"2,816.39"
2010/8/13,"2,855.55"
2010/8/16,"2,922.08"
2010/8/17,"2,942.29"
2010/8/18,"2,937.36"
2010/8/19,"2,955.40"
2010/8/20,"2,898.33"
2010/8/23,"2,896.19"
2010/8/24,"2,911.83"
2010/8/25,"2,843.02"
2010/8/26,"2,850.09"
2010/8/27,"2,858.57"
2010/8/30,"2,915.01"
2010/8/31,"2,903.19"
2010/9/1,"2,884.04"
2010/9/2,"2,921.39"
2010/9/3,"2,920.21"
2010/9/6,"2,975.09"
2010/9/7,"2,983.11"
2010/9/8,"2,980.97"
2010/9/9,"2,926.46"
2010/9/10,"2,932.55"
2010/9/13,"2,962.32"
2010/9/14,"2,965.01"
2010/9/15,"2,913.19"
2010/9/16,"2,857.79"
2010/9/17,"2,861.37"
2010/9/20,"2,849.83"
2010/9/21,"2,857.48"
2010/9/27,"2,905.03"
2010/9/28,"2,880.91"
2010/9/29,"2,874.81"
2010/9/30,"2,935.57"
2010/10/8,"3,044.23"
2010/10/11,"3,132.90"
2010/10/12,"3,172.73"
2010/10/13,"3,217.58"
2010/10/14,"3,224.14"
2010/10/15,"3,327.68"
2010/10/18,"3,306.16"
2010/10/19,"3,375.67"
2010/10/20,"3,396.88"
2010/10/21,"3,374.69"
2010/10/22,"3,378.66"
2010/10/25,"3,481.08"
2010/10/26,"3,466.08"
2010/10/27,"3,403.87"
2010/10/28,"3,397.69"
2010/10/29,"3,379.98"
2010/11/1,"3,473.00"
2010/11/2,"3,463.13"
2010/11/3,"3,420.34"
2010/11/4,"3,480.51"
2010/11/5,"3,520.80"
2010/11/8,"3,548.57"
2010/11/9,"3,523.95"
2010/11/10,"3,499.11"
2010/11/11,"3,509.98"
2010/11/12,"3,291.83"
2010/11/15,"3,314.89"
2010/11/16,"3,169.54"
2010/11/17,"3,103.91"
2010/11/18,"3,147.96"
2010/11/19,"3,178.85"
2010/11/22,"3,171.94"
2010/11/23,"3,107.18"
2010/11/24,"3,177.04"
2010/11/25,"3,223.48"
2010/11/26,"3,194.85"
2010/11/29,"3,190.05"
2010/11/30,"3,136.99"
2010/12/1,"3,136.02"
2010/12/2,"3,155.06"
2010/12/3,"3,158.16"
2010/12/6,"3,165.57"
2010/12/7,"3,200.34"
2010/12/8,"3,171.88"
2010/12/9,"3,123.37"
2010/12/10,"3,161.98"
2010/12/13,"3,261.06"
2010/12/14,"3,269.47"
2010/12/15,"3,247.64"
2010/12/16,"3,230.67"
2010/12/17,"3,225.66"
2010/12/20,"3,178.66"
2010/12/21,"3,249.51"
2010/12/22,"3,215.45"
2010/12/23,"3,188.61"
