,value,cash,portfolio
2013-01-17,1150230.2786287377,0.0,中债综合指数
2013-01-18,1151084.0493497744,0.0,中债综合指数
2013-01-21,1151848.608464763,0.0,中债综合指数
2013-01-22,1152232.8444171266,0.0,中债综合指数
2013-01-23,1152686.7280268436,0.0,中债综合指数
2013-01-24,1152587.3431674745,0.0,中债综合指数
2013-01-25,1152828.3710153932,0.0,中债综合指数
2013-01-28,1152893.3233250596,0.0,中债综合指数
2013-01-29,1152946.5372655091,0.0,中债综合指数
2013-01-30,1153111.6569924923,0.0,中债综合指数
2013-01-31,1153352.684840411,0.0,中债综合指数
2013-02-01,1153632.0580277713,0.0,中债综合指数
2013-02-04,1154043.6835083074,0.0,中债综合指数
2013-02-05,1154576.605470751,0.0,中债综合指数
2013-02-06,1154850.5007524765,0.0,中债综合指数
2013-02-07,1155140.047193158,0.0,中债综合指数
2013-02-08,1155577.4970859713,0.0,中债综合指数
2013-02-18,1157321.8187515903,0.0,中债综合指数
2013-02-19,1157738.9221377613,0.0,中债综合指数
2013-02-20,1158544.174266035,0.0,中债综合指数
2013-02-21,1158997.275317804,0.0,中债综合指数
2013-02-22,1159184.3066673253,0.0,中债综合指数
2013-02-25,1159422.9868414004,0.0,中债综合指数
2013-02-26,1158974.581137318,0.0,中债综合指数
2013-02-27,1159138.1357484057,0.0,中债综合指数
2013-02-28,1159093.529945382,0.0,中债综合指数
2013-03-01,1159331.4275615092,0.0,定期存款利率：3个月（月）
2013-03-04,1159331.4275615092,0.0,定期存款利率：3个月（月）
2013-03-05,1159331.4275615092,0.0,定期存款利率：3个月（月）
2013-03-06,1159331.4275615092,0.0,定期存款利率：3个月（月）
2013-03-07,1159331.4275615092,0.0,定期存款利率：3个月（月）
2013-03-08,1159331.4275615092,0.0,定期存款利率：3个月（月）
2013-03-11,1159331.4275615092,0.0,定期存款利率：3个月（月）
2013-03-12,1159331.4275615092,0.0,定期存款利率：3个月（月）
2013-03-13,1159331.4275615092,0.0,定期存款利率：3个月（月）
2013-03-14,1159331.4275615092,0.0,定期存款利率：3个月（月）
2013-03-15,1159331.4275615092,0.0,定期存款利率：3个月（月）
2013-03-18,1159331.4275615092,0.0,定期存款利率：3个月（月）
2013-03-19,1159331.4275615092,0.0,定期存款利率：3个月（月）
2013-03-20,1159331.4275615092,0.0,定期存款利率：3个月（月）
2013-03-21,1159331.4275615092,0.0,定期存款利率：3个月（月）
2013-03-22,1159331.4275615092,0.0,定期存款利率：3个月（月）
2013-03-25,1159331.4275615092,0.0,定期存款利率：3个月（月）
2013-03-26,1159331.4275615092,0.0,定期存款利率：3个月（月）
2013-03-27,1159331.4275615092,0.0,定期存款利率：3个月（月）
2013-03-28,1159331.4275615092,0.0,定期存款利率：3个月（月）
2013-03-29,1159331.4275615092,0.0,定期存款利率：3个月（月）
2013-04-01,1159331.4275615092,0.0,定期存款利率：3个月（月）
2013-04-02,1159331.4275615092,0.0,定期存款利率：3个月（月）
2013-04-03,1159331.4275615092,0.0,定期存款利率：3个月（月）
2013-04-08,1159331.4275615092,0.0,定期存款利率：3个月（月）
2013-04-09,1159331.4275615092,0.0,定期存款利率：3个月（月）
2013-04-10,1159331.4275615092,0.0,定期存款利率：3个月（月）
2013-04-11,1159331.4275615092,0.0,定期存款利率：3个月（月）
2013-04-12,1159331.4275615092,0.0,定期存款利率：3个月（月）
2013-04-15,1159331.4275615092,0.0,定期存款利率：3个月（月）
2013-04-16,1159331.4275615092,0.0,定期存款利率：3个月（月）
2013-04-17,1159331.4275615092,0.0,定期存款利率：3个月（月）
2013-04-18,1159331.4275615092,0.0,定期存款利率：3个月（月）
2013-04-19,1159331.4275615092,0.0,定期存款利率：3个月（月）
2013-04-22,1159331.4275615092,0.0,定期存款利率：3个月（月）
2013-04-23,1159331.4275615092,0.0,定期存款利率：3个月（月）
2013-04-24,1159331.4275615092,0.0,定期存款利率：3个月（月）
2013-04-25,1159331.4275615092,0.0,定期存款利率：3个月（月）
2013-04-26,1159331.4275615092,0.0,定期存款利率：3个月（月）
2013-05-02,1159331.4275615092,0.0,定期存款利率：3个月（月）
2013-05-03,1159331.4275615092,0.0,定期存款利率：3个月（月）
2013-05-06,1159331.4275615092,0.0,定期存款利率：3个月（月）
2013-05-07,1159331.4275615092,0.0,定期存款利率：3个月（月）
2013-05-08,1159331.4275615092,0.0,定期存款利率：3个月（月）
2013-05-09,1159331.4275615092,0.0,定期存款利率：3个月（月）
2013-05-10,1159331.4275615092,0.0,定期存款利率：3个月（月）
2013-05-13,1159331.4275615092,0.0,定期存款利率：3个月（月）
2013-05-14,1159331.4275615092,0.0,定期存款利率：3个月（月）
2013-05-15,1159331.4275615092,0.0,定期存款利率：3个月（月）
2013-05-16,1159331.4275615092,0.0,定期存款利率：3个月（月）
2013-05-17,1159331.4275615092,0.0,定期存款利率：3个月（月）
2013-05-20,1159331.4275615092,0.0,定期存款利率：3个月（月）
2013-05-21,1159331.4275615092,0.0,定期存款利率：3个月（月）
2013-05-22,1159331.4275615092,0.0,定期存款利率：3个月（月）
2013-05-23,1159331.4275615092,0.0,定期存款利率：3个月（月）
2013-05-24,1159331.4275615092,0.0,定期存款利率：3个月（月）
2013-05-27,1159331.4275615092,0.0,定期存款利率：3个月（月）
2013-05-28,1159331.4275615092,0.0,定期存款利率：3个月（月）
2013-05-29,1159331.4275615092,0.0,定期存款利率：3个月（月）
2013-05-30,1159331.4275615092,0.0,定期存款利率：3个月（月）
2013-05-31,1159331.4275615092,0.0,定期存款利率：3个月（月）
2013-06-03,1159331.4275615092,0.0,中债综合指数
2013-06-04,1159134.9886813725,0.0,中债综合指数
2013-06-05,1158975.5265316148,0.0,中债综合指数
2013-06-06,1158517.1691446295,0.0,中债综合指数
2013-06-07,1157834.6403297237,0.0,中债综合指数
2013-06-13,1158509.4656591339,0.0,中债综合指数
2013-06-14,1157749.9019892726,0.0,中债综合指数
2013-06-17,1157532.663698298,0.0,中债综合指数
2013-06-18,1157018.8412157446,0.0,中债综合指数
2013-06-19,1154713.9583554761,0.0,中债综合指数
2013-06-20,1147966.4754099238,0.0,中债综合指数
2013-06-21,1148296.1845891334,0.0,中债综合指数
2013-06-24,1148220.6904312768,0.0,中债综合指数
2013-06-25,1148727.579776884,0.0,中债综合指数
2013-06-26,1152731.851537471,0.0,中债综合指数
2013-06-27,1154247.1271344456,0.0,中债综合指数
2013-06-28,1155587.5336106713,0.0,中债综合指数
2013-07-01,1156196.8793133693,0.0,中债综合指数
2013-07-02,1157105.8906018443,0.0,中债综合指数
2013-07-03,1157726.7915327856,0.0,中债综合指数
2013-07-04,1158607.2999249268,0.0,中债综合指数
2013-07-05,1159056.4131293173,0.0,中债综合指数
2013-07-08,1159180.4392457956,0.0,中债综合指数
2013-07-09,1159023.2881416865,0.0,中债综合指数
2013-07-10,1157908.5937904804,0.0,中债综合指数
2013-07-11,1157022.6929584923,0.0,中债综合指数
2013-07-12,1156142.9549149005,0.0,中债综合指数
2013-07-15,1156209.9752387118,0.0,中债综合指数
2013-07-16,1155771.6469140148,0.0,中债综合指数
2013-07-17,1154982.039650721,0.0,中债综合指数
2013-07-18,1154505.964247096,0.0,中债综合指数
2013-07-19,1153985.9789761466,0.0,中债综合指数
2013-07-22,1152578.5521761095,0.0,中债综合指数
2013-07-23,1150706.605200691,0.0,中债综合指数
2013-07-24,1149297.637703555,0.0,中债综合指数
2013-07-25,1150459.323316284,0.0,中债综合指数
2013-07-26,1151206.561409352,0.0,中债综合指数
2013-07-29,1151165.7329362258,0.0,中债综合指数
2013-07-30,1151490.8200241379,0.0,中债综合指数
2013-07-31,1151887.5495271587,0.0,中债综合指数
2013-08-01,1152916.7351893643,0.0,中债综合指数
2013-08-02,1153851.1679799745,0.0,中债综合指数
2013-08-05,1153982.8975819484,0.0,中债综合指数
2013-08-06,1153768.7406851721,0.0,中债综合指数
2013-08-07,1152873.5956705892,0.0,中债综合指数
2013-08-08,1151101.7940066126,0.0,中债综合指数
2013-08-09,1150308.335000571,0.0,中债综合指数
2013-08-12,1149806.0677462611,0.0,中债综合指数
2013-08-13,1147240.807076243,0.0,中债综合指数
2013-08-14,1145738.6274046106,0.0,中债综合指数
2013-08-15,1144512.232513719,0.0,中债综合指数
2013-08-16,1144439.0494015114,0.0,中债综合指数
2013-08-19,1143531.5788101356,0.0,中债综合指数
2013-08-20,1141570.2714029683,0.0,中债综合指数
2013-08-21,1142057.1316862872,0.0,中债综合指数
2013-08-22,1142087.1752797198,0.0,中债综合指数
2013-08-23,1143288.9190170257,0.0,中债综合指数
2013-08-26,1144328.1192103755,0.0,中债综合指数
2013-08-27,1144532.2615760076,0.0,中债综合指数
2013-08-28,1143861.2879893451,0.0,中债综合指数
2013-08-29,1143668.7008519564,0.0,中债综合指数
2013-08-30,1143772.6979061465,0.0,中债综合指数
2013-09-02,1143868.9914748408,0.0,中债综合指数
2013-09-03,1143611.6950592895,0.0,中债综合指数
2013-09-04,1142975.3871573568,0.0,中债综合指数
2013-09-05,1142766.6227004274,0.0,中债综合指数
2013-09-06,1143067.058634754,0.0,中债综合指数
2013-09-09,1143171.8260374935,0.0,中债综合指数
2013-09-10,1142765.0820033285,0.0,中债综合指数
2013-09-11,1141794.4428308893,0.0,中债综合指数
2013-09-12,1141372.2918257331,0.0,中债综合指数
2013-09-13,1140527.9898154212,0.0,中债综合指数
2013-09-16,1140349.2689519243,0.0,中债综合指数
2013-09-17,1140705.9403303682,0.0,中债综合指数
2013-09-18,1140792.9897164677,0.0,中债综合指数
2013-09-23,1142539.369878309,0.0,中债综合指数
2013-09-24,1142061.753777585,0.0,中债综合指数
2013-09-25,1142478.5123428944,0.0,中债综合指数
2013-09-26,1143403.7009509099,0.0,中债综合指数
2013-09-27,1143390.6050255673,0.0,中债综合指数
2013-09-30,1143788.1048771378,0.0,中债综合指数
2013-10-08,1145098.467759931,0.0,定期存款利率：3个月（月）
2013-10-09,1145098.467759931,0.0,定期存款利率：3个月（月）
2013-10-10,1145098.467759931,0.0,定期存款利率：3个月（月）
2013-10-11,1145098.467759931,0.0,定期存款利率：3个月（月）
2013-10-14,1145098.467759931,0.0,定期存款利率：3个月（月）
2013-10-15,1145098.467759931,0.0,定期存款利率：3个月（月）
2013-10-16,1145098.467759931,0.0,定期存款利率：3个月（月）
2013-10-17,1145098.467759931,0.0,定期存款利率：3个月（月）
2013-10-18,1145098.467759931,0.0,定期存款利率：3个月（月）
2013-10-21,1145098.467759931,0.0,定期存款利率：3个月（月）
2013-10-22,1145098.467759931,0.0,定期存款利率：3个月（月）
2013-10-23,1145098.467759931,0.0,定期存款利率：3个月（月）
2013-10-24,1145098.467759931,0.0,定期存款利率：3个月（月）
2013-10-25,1145098.467759931,0.0,定期存款利率：3个月（月）
2013-10-28,1145098.467759931,0.0,定期存款利率：3个月（月）
2013-10-29,1145098.467759931,0.0,定期存款利率：3个月（月）
2013-10-30,1145098.467759931,0.0,定期存款利率：3个月（月）
2013-10-31,1145098.467759931,0.0,定期存款利率：3个月（月）
2013-11-01,1145098.467759931,0.0,定期存款利率：3个月（月）
2013-11-04,1145098.467759931,0.0,定期存款利率：3个月（月）
2013-11-05,1145098.467759931,0.0,定期存款利率：3个月（月）
